Date ,Price,Open,High,Low,Vol.,Change ,Average
10-07-2024,70.87,72.11,72.15,70.61,4190000,-1.73,71.38
10-04-2024,72.12,73.4,73.4,71.81,2520000,-1.1,72.605
10-03-2024,72.92,72.84,73.09,72.38,2600000,-0.1,72.735
10-02-2024,72.99,73.13,73.13,72.56,1820000,-0.08,72.845
10-01-2024,73.05,73.2,73.4,72.42,3840000,0.05,72.91
09-30-2024,73.01,72.29,73.12,72.15,3370000,0.56,72.635
09-27-2024,72.6,72.84,73.1,72.33,2770000,0.06,72.715
09-26-2024,72.56,72.68,73.48,72.31,3150000,-0.66,72.895
09-25-2024,73.04,73.67,73.93,72.68,3430000,-0.86,73.305
09-24-2024,73.67,73.87,73.87,73.14,2410000,-0.46,73.505
09-23-2024,74.01,74.71,74.88,73.89,2550000,-0.38,74.385
09-20-2024,74.29,74.16,74.68,73.5,4650000,0,74.09
09-19-2024,74.29,73.78,74.36,73.25,3060000,1.91,73.805
09-18-2024,72.9,72.65,73.63,72.31,2330000,0.28,72.97
09-17-2024,72.7,73.23,73.55,72.03,2580000,-0.82,72.79
09-16-2024,73.3,73.29,73.69,73.03,2260000,0.41,73.36
09-13-2024,73,72.42,73.04,72.23,1900000,0.59,72.635
09-12-2024,72.57,72.25,72.68,71.74,2850000,0.68,72.21
09-11-2024,72.08,71.46,72.19,70.12,2120000,0.46,71.155
09-10-2024,71.75,71.74,72.21,71.11,2670000,0.14,71.66
09-09-2024,71.65,72.31,72.54,71.43,2980000,-0.42,71.985
09-06-2024,71.95,73.27,73.65,71.24,3970000,-1.98,72.445
09-05-2024,73.4,73.5,73.74,72.65,2170000,-0.11,73.195
09-04-2024,73.48,73.14,74.17,72.9,3300000,2.93,73.535
09-03-2024,71.39,71.66,71.91,71.03,2270000,-0.96,71.47
08-30-2024,72.08,71.52,72.14,71.14,3070000,1.25,71.64
08-29-2024,71.19,71.21,71.75,70.97,1780000,0.34,71.36
08-28-2024,70.95,70.99,71.33,70.72,1460000,-0.14,71.025
08-27-2024,71.05,70.53,71.16,70.49,1520000,0.65,70.825
08-26-2024,70.59,70.57,70.8,70.25,1300000,0.34,70.525
08-23-2024,70.35,70.84,70.98,69.71,1340000,-0.4,70.345
08-22-2024,70.63,70.07,70.64,70.07,1750000,0.56,70.355
08-21-2024,70.24,69.99,70.48,69.91,1530000,0.21,70.195
08-20-2024,70.09,70.07,70.19,69.6,2020000,0.17,69.895
08-19-2024,69.97,69.63,70.08,69.63,1850000,0.2,69.855
08-16-2024,69.83,69.78,69.84,69.28,1800000,0.07,69.56
08-15-2024,69.78,69.63,69.97,69.1,2530000,0.69,69.535
08-14-2024,69.3,69,69.5,68.83,2100000,0.55,69.165
08-13-2024,68.92,68.3,68.97,67.96,2010000,1.38,68.465
08-12-2024,67.98,68.09,68.41,67.61,1660000,-0.16,68.01
08-09-2024,68.09,68.05,68.17,67.45,1650000,0.07,67.81
08-08-2024,68.04,67.03,68.1,66.76,3030000,1.86,67.43
08-07-2024,66.8,66.61,67.6,66.45,2830000,0.92,67.025
08-06-2024,66.19,65.29,66.93,64.97,3720000,2.78,65.95
08-05-2024,64.4,65.73,66.29,64.33,3940000,-3.68,65.31
08-02-2024,66.86,66.63,67.32,66.24,3770000,-0.68,66.78
